player_name,team_name,position,defensive_runs_saved,framing_runs_saved,pitches_framed,stolen_base_runs,pickoff_runs,throwing_runs,blocking_runs,infield_gb_runs,bunt_runs,double_play_runs_start,double_play_runs_pivot,infield_fb_runs,outfield_fb_runs,outfield_arm_runs
Ryder Helfrick,Arkansas,C,27,24.49,1304,-0.55,0.96,0.41,3.34,-0.42,-0.8,0,-0.01,0,0,0
Austin Fawley,Ole Miss,C,22.02,15.37,1076,0.26,0.27,0.53,6.7,-0.13,-0.42,0,-0.04,0,0,0
Grayson Ashe,Jacksonville State,C,19.67,11.28,1185,-0.9,0.45,-0.45,9.01,0.15,-0.32,0,-0.01,0.01,0,0
Ian Armstrong,Saint Mary's (CA),C,18.1,10.65,977,-0.56,0.31,-0.25,8,0.09,-0.37,0,-0.01,0,0,0
Burke-Lee Mabeus,Oregon,C,17.52,11.97,1156,0.73,0.7,1.43,4.2,-0.36,0.28,0,0,0,0,0
Trevian Martinez,UC San Diego,C,16.15,8.6,898,-0.15,0,-0.15,7.58,0,0.13,0,-0.02,0.01,0,0
Jonathan Fitz,Xavier,C,15.4,2.89,1036,1.12,1.39,2.51,9.43,-0.03,0.62,-0.01,0,0,0,0
Deiten Lachance,Oklahoma,C,15.15,10.41,763,0.02,1.13,1.15,3.85,0,-0.26,0,0,0,0,0
Ryan Tayman,Cal Poly,C,15.05,9.44,1431,-0.33,2,1.67,4.52,-0.05,-0.53,0,-0.01,0,0,0
Beau Sylvester,Arizona,C,6.32,2.54,752,-0.36,0.56,0.2,3.71,0,-0.12,0,-0.02,0,0,0
Augusto Mungarrieta,Kansas,C,14.03,3.13,1248,-0.61,0.46,-0.15,10.89,0,0.18,0,-0.01,0,0,0
Mateo Serna,Missouri,C,13.96,9.45,1010,-0.75,0,-0.75,4.83,0.16,0.27,0,0,0,0,0
Jayden Lobliner,San Diego,C,13.9,1.4,1088,0.09,0.47,0.56,12.21,0.03,-0.31,0,-0.01,0.01,0,0
Rudy Gonzalez,UTRGV,C,13.66,8,616,0.02,0.14,0.16,5.04,0.05,0.33,0,0.09,0,0,0
Owen Walewander,Lehigh,C,13.57,3.63,722,0.05,7.35,7.4,2.51,0.07,0,0,-0.04,0,0,0
Nate Vargas,UC Santa Barbara,C,13.28,8.67,935,0.19,0,0.19,3.45,0.08,0.91,0,-0.02,0,0,0
Joe Forbes,Arizona,C,-1.47,-1.14,89,-0.2,0,-0.2,-0.13,0,0,0,0,0,0,0
Daniel Jackson,Georgia,C,13,4.27,1230,0.4,0,0.4,6.81,0.18,1.34,0,0,0,0,0
James McGee,Kennesaw State,C,12.96,5.88,749,0.55,-0.8,-0.25,7.52,-0.29,0,-0.02,0.11,0.01,0,0
Jimmy Janicki,Troy,C,12.57,7.08,1224,-0.05,1.45,1.4,4.04,0.19,-0.25,0,0.09,0.02,0,0
Connor Walker,McNeese,C,12.57,4.17,646,0.86,3.12,3.98,3.97,0.13,0.31,0,0,0.01,0,0
Andrew DiLodovico,Bowling Green,C,12.38,7.92,704,-0.76,0,-0.76,4.31,0.18,0.73,0,0,0,0,0
Matt Chavez,California Baptist,C,12.34,3.79,814,0.39,-0.4,-0.01,8.57,0.03,-0.01,0,-0.02,0,0,0
Parker Goff,BYU,C,12.28,5.48,553,0.58,0.31,0.89,5.8,0.13,0,0,-0.01,0,0,0
Tucker Stockman,Southern Miss,C,12.18,5.15,945,0.52,0.72,1.24,5.95,0.2,-0.47,0,0.1,0,0,0
Noah Miller,Michigan,C,12.17,6.58,939,0.46,-0.31,0.15,5.05,0.13,0.26,0,-0.01,0,0,0
Brice Estep,Coastal Carolina,C,12.12,6.99,824,0.8,-0.26,0.54,4.71,0,-0.11,0,0,0,0,0
Jackson Golden,Marshall,C,12.02,8.38,940,-0.61,0,-0.61,4,0.2,0.08,0,-0.04,0,0,0
Nolan Zajac,Western Michigan,C,11.79,5.89,1057,-1.06,-0.68,-1.74,7.66,-0.27,0.27,0,-0.02,0,0,0
Carter Bergman,Missouri State,C,11.68,6.82,888,0.2,1.19,1.39,3.68,-0.12,-0.05,0,-0.04,0,0,0
Chase Fralick,Auburn,C,11.39,6.81,1109,0.23,-0.17,0.06,3.6,0.51,0.41,-0.01,0,0,0,0
David Whittle,UC Riverside,C,11.28,4.84,581,0.27,2.64,2.91,4.73,-0.29,-0.89,0,-0.01,0,0,0
Zane Denton,Central Arkansas,C,10.85,2.49,733,0.59,0.68,1.27,6.95,-0.23,0.37,0,-0.01,0,0,0
Jacob Galloway,Oregon State,C,10.83,0.7,1198,0.58,0.94,1.52,8.29,0.02,0.28,0,0,0.01,0,0
Cole Hansen,California Baptist,C,10.57,5.45,381,0.79,-0.26,0.53,4.42,0,0.19,0,-0.02,0,0,0
Noah Quarless,Western Carolina,C,10.17,5.24,844,0.6,0,0.6,2.91,0.19,1.13,0,0.1,0,0,0
Vahn Lackey,Georgia Tech,C,10.01,3.17,955,-0.24,1.81,1.57,4.95,0.11,0.23,0,-0.02,0,0,0
Duncan Mathews,South Alabama,C,10,4.07,1156,0.11,0.31,0.42,5.73,0,-0.19,-0.04,0,0.01,0,0
Thomas Zwirecki,Canisius,C,9.97,5.99,589,0.59,0.81,1.4,2.59,0,0,0,-0.01,0,0,0
Clayton Namken,Texas State,C,9.94,2.4,1103,-0.06,0.67,0.61,5.57,0.12,1.24,0,0,0,0,0
Zach Justice,San Diego State,C,9.76,9.51,912,-0.28,0,-0.28,1,0.29,0,0,0,-0.76,0,0
Cole Raile,VMI,C,9.75,3.53,929,0.79,-0.86,-0.07,5.91,0.08,0.23,0.11,-0.04,0,0,0
Manny Garza,Tennessee Tech,C,9.7,6.37,904,0.43,0.62,1.05,2.04,0.1,0.16,0,-0.04,0.01,0,0
Jake Lyall,Loyola Marymount,C,9.5,4.11,737,1.06,2.47,3.53,2.75,0.08,-0.98,0,0,0.01,0,0
Lucas Manning,Wofford,C,9.46,5.82,612,0.11,0,0.11,3.47,0.29,-0.21,-0.01,-0.01,0,0,0
Parker Airhart,Murray State,C,9.45,1.24,940,-0.18,1.8,1.62,3.39,0.05,3.18,0,-0.02,0,0,0
Efren Ortega,UC Irvine,C,9.26,4.73,805,0.12,-0.14,-0.02,4.3,0.14,0.1,0,0,0.01,0,0
Jake Wrubleski,Gonzaga,C,9.2,4.05,761,-0.08,-1.38,-1.46,6.58,0.02,-0.01,0,0,0.02,0,0
Colt Brown,Louisiana,C,9.17,0.25,1242,-0.51,1.78,1.27,7.9,-0.18,-0.41,0.12,0.21,0,0,0
Jack Bergstrom,Texas A&M-Corpus Christi,C,9.05,6.01,348,0.4,0,0.4,2.64,0,0,0,0,0,0,0
Cade Carr,Samford,C,8.95,6.79,585,0.36,0.31,0.67,1.53,0.05,-0.1,0,0,0.01,0,0
Jason Green,Niagara,C,8.95,6.67,840,-0.02,1.45,1.43,2.78,0.02,-1.96,0,0,0.01,0,0
Domenico Tozzi,Coastal Carolina,C,8.92,6.86,572,0.29,0,0.29,1.52,0.22,-0.07,0,0.11,0,0,0
Jake Russo,New Haven,C,8.69,7.94,517,-0.26,0,-0.26,2.37,0,-1.35,0,-0.02,0,0,0
Zakary Goodwin,Eastern Illinois,C,8.54,4.54,586,0.32,1.08,1.4,2.5,0.1,0,0,0,0,0,0
Jake Redding,Hawaii,C,8.42,6.09,822,0.23,-0.04,0.19,2.64,0.04,-0.51,-0.02,-0.02,0.01,0,0
Scott Gell,Stony Brook,C,8.41,3.12,815,0.39,1.6,1.99,2.02,0.1,0.93,0,0.24,0,0,0
Karson Bowen,Florida,C,8.4,6.1,1111,-0.09,0.78,0.69,1.66,0.31,-0.34,0,-0.04,0.01,0,0
Owen Estabrook,Columbia,C,8.35,-0.64,897,1.05,2.24,3.29,4.97,0.1,1.05,0,-0.05,-0.38,0,0
Zac Butler,Wright State,C,8.27,5.02,817,-0.64,0,-0.64,3.1,0.03,0.78,0,-0.01,0,0,0
Johnny Luetzow,Santa Clara,C,8.14,4.52,835,0.48,0,0.48,2.98,0.21,0,0,-0.05,0,0,0
Mike Sprockett,Belmont,C,7.98,2.18,980,0.42,0.17,0.59,6,0.06,-0.93,0,0.08,0,0,0
Jehee Lee,Cal State Northridge,C,7.94,5.44,405,0.25,-0.11,0.14,2.11,0,0.23,0,0,0.01,0,0
Trey Hill,Little Rock,C,7.85,8.5,693,-0.24,0.31,0.07,-0.07,-0.16,-0.48,0,0,0,0,0
Josh Hoffmann,New Orleans,C,7.83,3.39,343,0.8,-0.12,0.68,3.81,0.04,-0.09,0,0,0,0,0
Mason Schwalbach,Southern Illinois,C,7.8,4.47,810,0.7,0,0.7,1.44,0.05,1.13,0,0,0.01,0,0
Adam Agresti,St. John's,C,7.78,3.96,1053,0.13,0.48,0.61,3.12,0,0.09,0,-0.03,0.01,0,0
Carter Stewart,Portland,C,7.76,5.67,387,-0.1,0.48,0.38,1.71,0,0.01,0,-0.01,0,0,0
Mike Toth,Mount St. Mary's,C,7.67,3.73,572,0.04,0,0.04,3.29,0.38,0.23,-0.01,0,0,0,0
Cam Morrison,Stonehill,C,7.67,6.51,609,-0.26,-0.43,-0.69,0.95,0,0.79,0,0.11,0.01,0,0
Lance Trippel,USF,C,7.51,6.64,922,0.18,0.94,1.12,-2.06,0.21,1.61,0,0,0,0,0
Andrew Schuldt,Campbell,C,7.45,4.76,784,0.06,0.2,0.26,2.91,-0.03,-0.41,0,-0.04,0,0,0
Will Millard,North Alabama,C,7.44,0.71,1150,0.58,1.01,1.59,5.17,0.12,-0.24,0,0.08,0,0,0
Van Coughlin,Holy Cross,C,7.4,3.81,561,0.31,0,0.31,3.38,0.08,-0.18,0,0,0,0,0
Brody Williams,Kent State,C,7.36,2.57,894,-0.08,1,0.92,4.04,0,-0.15,0,-0.03,0.01,0,0
Levi Castilleja,Houston Christian,C,7.35,2.85,704,0,-0.04,-0.04,2.98,0,1.6,-0.03,-0.02,0,0,0
Dylan Johnson,College of Charleston,C,7.29,1.72,1040,0.87,0.56,1.43,4.16,0.08,-0.05,0,-0.03,0,0,0
Damon Valdez,Long Beach State,C,7.29,3.42,675,0.99,0,0.99,2.27,0.06,0.43,0,0.12,0.01,0,0
Armando Hurtado,Coppin State,C,7.23,4.11,619,-1.4,-0.54,-1.94,5.2,0,-0.11,0,-0.02,0,0,0
Kaden Amundson,Arkansas State,C,7.19,3.92,801,-0.41,-0.04,-0.45,4.22,-0.87,0.38,0,-0.02,0.01,0,0
Kanon Sundgren,Abilene Christian,C,7.07,2.32,502,-0.3,0,-0.3,4.96,0.13,-0.15,0,0.12,0,0,0
Austin Young,Fresno State,C,6.9,1.37,558,0.58,0,0.58,5.6,0,-0.63,0,-0.02,0,0,0
Dakota Chun,Portland,C,6.88,5,532,0.47,0,0.47,1.72,0,0.06,0,-0.01,-0.37,0,0
Joseph Durso,Long Island,C,6.86,6.02,945,-0.47,0,-0.47,1.69,0,-0.35,0,-0.05,0.01,0,0
Sean Kang,SIUE,C,6.82,3.35,893,-0.51,0.56,0.05,3.68,-0.25,0,0,-0.02,0,0,0
Max Kalk,Ball State,C,6.81,-0.02,799,0.67,1.43,2.1,3.99,0.05,0.68,0,0,0,0,0
Jeter Worthley,Nebraska,C,6.79,-1.34,986,-0.63,-0.14,-0.77,8.58,0.34,0,-0.02,-0.01,0,0,0
Ethan Payne,Fresno State,C,6.74,0.77,604,-0.24,-1.04,-1.28,6.12,0.18,0.96,0,0,0,0,0
Dylan LaPointe,Mercer,C,6.46,0.78,1201,-0.11,0.57,0.46,4.48,0,0.81,0,-0.08,0,0,0
Ivan Dahlberg,Northern Illinois,C,6.42,4.47,1187,0.57,-0.28,0.29,2.5,0,-0.47,0,0,-0.37,0,0
Brendan Burke,Norfolk State,C,6.33,6.7,763,-0.51,0.28,-0.23,1.14,-0.43,-0.79,0,-0.09,0.02,0,0
Roman Meyers,Arizona,C,2.84,2.79,407,-0.41,0,-0.41,0.3,0.21,0,-0.05,0,0,0,0
Andrew Pyle,Utah Tech,C,6.29,3.65,604,0.13,0.28,0.41,2.78,0.11,-0.67,0,0,0,0,0
Zach White,UL Monroe,C,6.27,-0.78,868,0.64,-0.39,0.25,6.76,0,0.04,0,0,0,0,0
Jacob Payne,Toledo,C,6.21,2.27,1111,0.11,-0.89,-0.78,5.06,0,-0.31,0,-0.02,0,0,0
Jake Harvey,Nevada,C,6.21,-1.72,1022,0.1,1.29,1.39,6.32,0.05,0.16,0,0,0,0,0
Nikhil Beasley,Sacramento State,C,6.2,4.07,833,0.01,0,0.01,2.03,-0.3,0.27,0,0.1,0.01,0,0
Blake Primrose,Saint Joseph's,C,6.17,4.16,869,-0.03,-0.84,-0.87,2.58,0,0.29,0,-0.02,0.02,0,0
Matthew Buffington,Miami (OH),C,6.07,5.19,450,0.38,0.61,0.99,-0.12,0,-0.01,0,0,0.01,0,0
Van Klein,Air Force,C,6.04,1.98,323,-0.42,0.31,-0.11,4,0.11,0.07,0,0,0,0,0
Ethan Adkisson,Stephen F. Austin,C,6.03,3.52,543,0.16,0.9,1.06,1.36,0,0.09,0,0,0,0,0
Kingsley Guthrie,Murray State,C,5.91,3.76,267,0.12,0,0.12,1.75,0,0.28,0,0,0,0,0
Joey DeMucci,Penn State,C,5.86,1.61,431,0.49,-0.04,0.45,3.53,0.19,0.09,0,-0.02,0,0,0
Omar Serna Jr.,LSU,C,5.86,3.4,498,-0.06,0,-0.06,1.74,-0.33,1.12,0,-0.01,0,0,0
Hederick Torres,Jackson State,C,5.83,2.57,850,0.51,-0.64,-0.13,4.4,-0.25,-0.75,-0.02,0,0,0,0
Sam Pease,Northern Colorado,C,5.8,-0.02,849,-0.69,0,-0.69,6.54,0.05,-0.01,-0.02,-0.07,0,0,0
Riley Jackson,Houston,C,5.77,2.07,544,-0.94,0.56,-0.38,3.63,0.1,0.37,0,-0.01,0,0,0
Nate Savoie,Clemson,C,5.72,3.61,456,0.36,0.88,1.24,0.83,0.07,0,0,-0.03,0,0,0
Samuel Fernandez,Stetson,C,5.69,2.15,869,-0.06,0.56,0.5,3.3,-0.17,-0.08,0,-0.01,0,0,0
Tommy Popoff,Binghamton,C,5.66,1.72,687,-0.3,0.42,0.12,4.06,-0.24,-0.1,0,0.1,0,0,0
John Elliott,Tulane,C,5.64,3.14,518,-0.25,-0.4,-0.65,3.66,0,-0.7,0,0.2,0,0,0
Connor Price,Georgetown,C,5.64,1.56,920,-0.41,-0.4,-0.81,4.74,0.1,0.06,0,-0.02,0.01,0,0
Xavier Bradley,Southern,C,5.62,1.7,613,-0.46,0.31,-0.15,3.84,0,0.15,0,0.09,0,0,0
Alex Sosa,Miami,C,5.54,0.45,756,0.02,0.88,0.9,4.58,-0.37,-0.01,0,-0.02,0,0,0
Cam Macleod,Washington State,C,5.46,0.69,627,0.49,0.52,1.01,3.67,-0.52,0.63,0,-0.02,0,0,0
Stone Lawless,Tennessee,C,5.45,1.72,682,-0.06,0.88,0.82,2.92,0.21,-0.19,0,-0.03,0,0,0
Brody Briggs,Arizona State,C,13.27,3.29,1032,0.12,1.36,1.48,8.37,0.05,0,0,0.08,0,0,0
Conner Spelman,Jacksonville,C,5.4,3.96,547,-0.38,0,-0.38,2.1,0,-0.28,0,-0.02,0.01,0,0
Tank Sims,Southeast Missouri,C,5.4,5.04,915,-0.67,0,-0.67,0.88,0.04,0.11,0,-0.02,0.01,0,0
Ethan Gonzalez,Wichita State,C,5.37,3.97,976,0.3,0,0.3,2.03,0.14,-1.16,0,0.09,0,0,0
Ty Johnsen,Utah Tech,C,5.37,1.27,759,0.4,0.79,1.19,2.49,0.23,0.18,-0.02,0,0.01,0,0
Lorenzo Rios,Rice,C,5.34,-0.33,730,0.05,1.4,1.45,4.02,0.24,-0.03,-0.02,0,0,0,0
Garryn Plummer,Fairleigh Dickinson,C,5.33,1.09,584,0.17,1.8,1.97,2.59,-0.23,-0.28,-0.02,0.23,0,0,0
Walker Barron,East Carolina,C,5.33,-0.58,1094,0.12,0.52,0.64,5.27,0.1,-0.2,-0.01,0.11,0,0,0
Cashel Dugger,UCLA,C,5.33,-1.4,1177,0.17,2.17,2.34,3.99,0.12,0.26,-0.01,-0.01,0.04,0,0
Kyle Cincinnati,Sacred Heart,C,5.32,0.16,510,0.69,1.31,2,3.11,0,0.06,0,-0.01,0.01,0,0
Eli Berch,Louisiana Tech,C,5.27,2.47,690,0.02,0.29,0.31,2.81,-0.33,0.03,0,-0.03,0,0,0
Brady Neal,Alabama,C,5.25,1.82,557,0.43,0.17,0.6,2.93,-0.16,0.07,0,0,0,0,0
Austin Pierzynski,UAB,C,5.2,1.47,840,-0.78,-0.32,-1.1,4.9,0.12,-0.19,0,0,0,0,0
Max Kaufer,Wichita State,C,5.19,3.36,351,0.02,0,0.02,1.84,0,-0.03,0,0,0,0,0
Gabriel Tirado,Connecticut,C,5.17,2.46,656,-0.01,0.88,0.87,1.76,0.13,-0.03,0,-0.03,0,0,0
Matthew Cormier,Cal State Northridge,C,5.15,4.07,348,0.13,0,0.13,0.11,0.05,0.8,0,0,0,0,0
Caleb Herd,New Mexico,C,5.12,3.48,332,0.14,0.61,0.75,-0.05,0,0.95,0,-0.02,0,0,0
Matt Houston,Louisiana Tech,C,5.12,3.54,428,0.26,0,0.26,1.8,0.13,-0.61,0,0,0,0,0
Chayton Fischer,UTRGV,C,5.11,4.66,556,-0.28,0.98,0.7,-0.9,0,0.57,0,0.09,0,0,0
Lawson Odom,Southern Miss,C,5.11,2.42,302,0.14,0,0.14,2.58,0.06,-0.08,0,0,0,0,0
Owen Michelson,UNC Asheville,C,5.06,2.92,255,0.53,-0.26,0.27,2.38,-0.19,-0.32,-0.01,0,0,0,0
Garrett McGovern,Merrimack,C,5.04,2.95,490,0.15,-0.62,-0.47,2.4,0.13,0.06,-0.03,0,0,0,0
William Zareh,Lindenwood,C,5.01,-3.58,771,0.93,2.14,3.07,4.82,0,0.71,0,0,0,0,0
Seojun Oh,High Point,C,5,3.45,403,0,0,0,2.01,0.06,-0.52,0,0,0,0,0
Ryan MacDougall,Dayton,C,4.98,2.36,931,-0.96,0,-0.96,3.23,0.14,0.09,0,0.1,0.01,0,0
Nick Shuhet,Rider,C,4.97,2.2,735,-0.41,0,-0.41,4.59,0,-0.99,0,-0.04,-0.38,0,0
Matthew Chatelle,Rutgers,C,4.94,-0.71,698,1,0.31,1.31,4.22,0,0,0,0.11,0,0,0
Logan Vaughan,George Mason,C,4.91,3.16,715,-0.17,0.52,0.35,2.48,-1.19,0,0,0.12,0,0,0
Jack DePalma,Merrimack,C,4.88,3.25,299,-0.54,0,-0.54,2.23,0.03,-0.08,0,0,0,0,0
Bear Harrison,Texas A&M,C,4.86,3.09,1099,0.42,0,0.42,2.46,0,-1.09,0,-0.03,0.01,0,0
Dean O'Neill,Middle Tennessee,C,4.82,3.56,356,-0.23,0,-0.23,0.44,0,1.06,0,0,0,0,0
Colin Cymbalista,Incarnate Word,C,4.71,0.79,733,-0.31,0,-0.31,4.77,0,-0.38,0,0.22,-0.38,0,0
Alonzo Alvarez,Miami,C,4.64,-2.12,636,0.56,1.19,1.75,5.14,-0.25,0.16,0,-0.03,0,0,0
Walker Zapp,Air Force,C,4.61,2.4,739,0.52,0,0.52,1.67,0.04,0,0,-0.01,0,0,0
Santiago Carriles,USF,C,4.6,2.95,131,0.02,0,0.02,1.52,0,0,0,0.11,0,0,0
Brooks Wright,Appalachian State,C,4.58,2.84,152,-0.08,0,-0.08,1.24,0,0.58,0,0,0,0,0
Dylan Jackson,San Jose State,C,4.58,2.69,583,-0.3,0,-0.3,3.25,-0.24,-0.82,0,0,0,0,0
Matt Quintanar,Texas Tech,C,4.52,-6.16,1202,0.99,0.52,1.51,8.15,0.1,0.92,0,0,0,0,0
Deacon Bowne,Bucknell,C,4.51,5.61,718,-1.04,-0.48,-1.52,0.24,0.05,0.13,0,0,0,0,0
Drew Rogers,Georgia Tech,C,4.42,2.42,393,0.33,0.31,0.64,1.36,0,0,0,0,0,0,0
Brennan Hudson,Georgia,C,4.38,2.42,216,-0.23,0.56,0.33,1.64,0,0,0,0,0,0,0
Noah McNeil,Northwestern State,C,4.34,4.1,277,0.03,0,0.03,0.13,0,0,0,0.09,0,0,0
Charlie Carter,Missouri State,C,4.34,2.7,314,0.15,-0.46,-0.31,1.91,0,0.06,0,-0.02,0,0,0
CJ Griggs,Hofstra,C,4.32,2.48,437,0.27,0,0.27,1.61,-0.35,0.31,0,0,0,0,0
Griffin Pomper,Jacksonville,C,4.31,2.16,313,0.7,0,0.7,1.42,0.05,0,0,-0.02,0,0,0
Kaden Schuck,McNeese,C,4.3,2.74,352,-0.07,-0.28,-0.35,0.98,0.12,0.82,0,0,0,0,0
Brayden Jaksa,Oregon,C,4.26,4.56,327,0.02,0,0.02,0.92,0,-0.86,0,0,-0.38,0,0
Colton Denton,Appalachian State,C,4.26,0.78,609,-0.44,-0.62,-1.06,3.98,0,0.57,0,-0.02,0.01,0,0
Garrett Fulmer,The Citadel,C,4.25,3.19,556,0.09,-0.99,-0.9,1.84,0,0.13,0,0,0,0,0
Brodey Williams,New Mexico,C,4.24,-0.01,696,0.34,1.13,1.47,2.53,0.04,0.23,0,-0.01,0,0,0
Ernie Echevarria,Penn,C,4.19,-0.32,591,0.62,1.01,1.63,2.26,0.45,0.18,0,0,0,0,0
Jack Natili,Cincinnati,C,4.17,-0.51,938,0.68,1.31,1.99,5.2,0,-2.47,0,-0.04,0,0,0
Brandon Doubek,Lafayette,C,4.15,1.9,681,-0.71,0.88,0.17,2.55,0.05,-0.53,0,0,0.01,0,0
Jaxon Haynes,Mississippi Valley,C,4.12,2.36,171,-0.01,1.04,1.03,0.66,0,0.07,0,0,0,0,0
Seth Fontenot,McNeese,C,4.08,0.97,345,0.3,0,0.3,2.81,0,0,0,0,0,0,0
A.J. DeMastrie,Dartmouth,C,4.08,1.45,421,0.01,0.56,0.57,1.94,-0.07,0.2,0,0,0,0,0
Spencer Verburg,Central Michigan,C,4.06,0.86,505,0.04,1.55,1.59,1.43,0.19,0,0,0,0,0,0
Trey Fikes,Nebraska,C,4.04,2.15,349,0.09,0,0.09,1.68,0,0,0,0.11,0,0,0
Cal Elvis,UC San Diego,C,4.02,2.33,201,0.08,0.56,0.64,0.98,0,0.07,0,0,0,0,0
Zack Thompson,Gardner-Webb,C,4.02,3.24,775,0.25,0,0.25,0.36,0,0.08,0,0.09,0,0,0
Owen Turner,Yale,C,4.01,-1.43,485,-0.51,0,-0.51,4.87,0.1,1,-0.02,0,0,0,0
Martin Howell,Dayton,C,3.98,2.84,154,0.2,0,0.2,0.85,0,0,0,0.1,0,0,0
Colton Bower,Washington,C,3.97,2.93,410,0.22,0.31,0.53,0.71,-0.2,0,0,0,0.01,0,0
Niko Lombardi,Cal State Fullerton,C,3.97,0.04,501,0,0.31,0.31,3.05,0.1,0.5,0,-0.02,0,0,0
Gio Melchione,Akron,C,3.91,1.39,430,-0.88,0.88,0,2.13,0,0.4,0,-0.01,0,0,0
Mason Wray,Northwestern State,C,3.9,2.66,233,-0.13,0.82,0.69,0.41,0,0,0,0.14,0,0,0
Brendan Brock,Oklahoma,C,3.87,2.94,698,0.21,-0.31,-0.1,0.93,0.13,0,0,-0.03,0,0,0
Elie Kligman,Michigan,C,3.85,1.61,319,0.37,-0.18,0.19,1.99,0,0.06,0,0,0,0,0
Trey Wells,Rutgers,C,3.83,1.12,666,0.61,0,0.61,1.19,0,0.81,0,0.1,0,0,0
Colin Hynek,North Carolina,C,3.8,0.37,697,0.34,0,0.34,2.99,0,0,0,0.11,0,0,0
